dataset,method,n_runs,n_runs_with_test_acc,mean_test_acc,std_test_acc,mean_total_runtime_sec,success_count,total_count,parameter_source_values,parameter_tuning_target_method_values
texas,mlp_only,10,10,0.7891891956329345,0.05378309661320749,0.2214426452992484,10,10,['mlp_only_self_tuned'],['mlp_only']
texas,prop_only,10,10,0.5648648648648649,0.10145040204931598,2.680460919097823,10,10,['tuned_on_predictclass_then_reused'],['predictclass']
texas,selective_graph_correction,10,10,0.7891891891891891,0.057713936497466554,0.008859437202045229,10,10,['validation_selected_threshold_and_weights'],['selective_graph_correction']
wisconsin,mlp_only,10,10,0.8568627536296844,0.04886249039885124,0.24188467569765634,10,10,['mlp_only_self_tuned'],['mlp_only']
wisconsin,prop_only,10,10,0.5294117647058824,0.08856148855400951,4.019120304599346,10,10,['tuned_on_predictclass_then_reused'],['predictclass']
wisconsin,selective_graph_correction,10,10,0.8549019607843137,0.044884404479449386,0.011905471701174975,10,10,['validation_selected_threshold_and_weights'],['selective_graph_correction']
cornell,mlp_only,10,10,0.7459459424018859,0.051564277290504876,0.21481207860197174,10,10,['mlp_only_self_tuned'],['mlp_only']
cornell,prop_only,10,10,0.5054054054054056,0.09129376083272722,1.4789453407021937,10,10,['tuned_on_predictclass_then_reused'],['predictclass']
cornell,selective_graph_correction,10,10,0.7405405405405406,0.05156428115767275,0.006786428896884899,10,10,['validation_selected_threshold_and_weights'],['selective_graph_correction']
actor,mlp_only,10,10,0.3433552622795105,0.00961720227920451,1.9077665239005,10,10,['mlp_only_self_tuned'],['mlp_only']
actor,prop_only,10,10,0.32105263157894737,0.017537553691255925,73.34848035760224,10,10,['tuned_on_predictclass_then_reused'],['predictclass']
actor,selective_graph_correction,10,10,0.3425657894736842,0.009731728742691582,0.3593066664994694,10,10,['validation_selected_threshold_and_weights'],['selective_graph_correction']
chameleon,mlp_only,10,10,0.4594298303127289,0.014554863331189487,0.9334758818964474,10,10,['mlp_only_self_tuned'],['mlp_only']
chameleon,prop_only,10,10,0.3894736842105263,0.03492561237126044,49.268360064201985,10,10,['tuned_on_predictclass_then_reused'],['predictclass']
chameleon,selective_graph_correction,10,10,0.46118421052631575,0.014679884185245224,0.2732926260039676,10,10,['validation_selected_threshold_and_weights'],['selective_graph_correction']
cora,mlp_only,10,10,0.7080482959747314,0.024302809832359128,0.9274091856961604,10,10,['mlp_only_self_tuned'],['mlp_only']
cora,prop_only,10,10,0.8183098591549296,0.01925817162962021,19.45127350310213,10,10,['tuned_on_predictclass_then_reused'],['predictclass']
cora,selective_graph_correction,10,10,0.740241448692153,0.02277200256681888,0.07731194029911422,10,10,['validation_selected_threshold_and_weights'],['selective_graph_correction']
citeseer,mlp_only,10,10,0.6875425040721893,0.017833591692903578,1.6043905516984522,10,10,['mlp_only_self_tuned'],['mlp_only']
citeseer,prop_only,10,10,0.6938282622244887,0.02145644865916476,82.19047970980027,10,10,['tuned_on_predictclass_then_reused'],['predictclass']
citeseer,selective_graph_correction,10,10,0.7141162388803899,0.017245016746751482,0.2092246543004876,10,10,['validation_selected_threshold_and_weights'],['selective_graph_correction']
