dataset,noise_fraction,mean_test_acc,std_test_acc,mean_delta_vs_mlp,std_delta_vs_mlp,mean_frac_corrected,n_splits
chameleon,0.0,0.466228,0.024403,-0.000219,0.004788,0.076974,10
chameleon,0.1,0.467105,0.023934,0.000658,0.003110,0.050658,10
chameleon,0.2,0.465570,0.024223,-0.000877,0.004287,0.062719,10
chameleon,0.3,0.465789,0.022177,-0.000658,0.002745,0.030044,10
citeseer,0.0,0.705344,0.021531,0.024815,0.009758,0.219329,10
citeseer,0.1,0.700690,0.019338,0.020161,0.009016,0.204637,10
citeseer,0.2,0.695220,0.023221,0.014691,0.007831,0.186685,10
citeseer,0.3,0.693332,0.023101,0.012804,0.007566,0.167641,10
cora,0.0,0.739839,0.027162,0.034205,0.012512,0.224950,10
cora,0.1,0.733602,0.025753,0.027968,0.009600,0.213883,10
cora,0.2,0.728571,0.026035,0.022938,0.007174,0.193763,10
cora,0.3,0.721932,0.024327,0.016298,0.009459,0.192354,10
pubmed,0.0,0.884483,0.004149,0.010903,0.002087,0.239275,10
pubmed,0.1,0.882759,0.004313,0.009178,0.002648,0.223884,10
pubmed,0.2,0.880781,0.003738,0.007201,0.001757,0.212728,10
pubmed,0.3,0.877485,0.004967,0.003905,0.002081,0.169980,10
texas,0.0,0.810811,0.079565,0.005405,0.017093,0.021622,10
texas,0.1,0.808108,0.083010,0.002703,0.019942,0.024324,10
texas,0.2,0.805405,0.072967,0.000000,0.012741,0.024324,10
texas,0.3,0.805405,0.077289,0.000000,0.018018,0.024324,10
wisconsin,0.0,0.845098,0.042809,0.001961,0.006201,0.017647,10
wisconsin,0.1,0.847059,0.045093,0.003922,0.008267,0.019608,10
wisconsin,0.2,0.843137,0.044329,0.000000,0.000000,0.015686,10
wisconsin,0.3,0.845098,0.049302,0.001961,0.014468,0.023529,10
