dataset,train_fraction,mean_delta_vs_mlp,std_delta_vs_mlp,n_splits
chameleon,0.1,-0.000658,0.002080,10
chameleon,0.2,0.001316,0.003896,10
chameleon,0.4,-0.001096,0.003467,10
chameleon,1.0,-0.000219,0.004788,10
citeseer,0.1,0.020890,0.007734,10
citeseer,0.2,0.030777,0.010740,10
citeseer,0.4,0.024987,0.006667,10
citeseer,1.0,0.024815,0.009758,10
cora,0.1,0.025352,0.010092,10
cora,0.2,0.031590,0.008217,10
cora,0.4,0.032394,0.007790,10
cora,1.0,0.034205,0.012512,10
pubmed,0.1,0.013565,0.002703,10
pubmed,0.2,0.012931,0.002452,10
pubmed,0.4,0.013007,0.003849,10
pubmed,1.0,0.010903,0.002087,10
texas,0.1,0.000000,0.018018,10
texas,0.2,-0.002703,0.008547,10
texas,0.4,0.000000,0.012741,10
texas,1.0,0.005405,0.017093,10
