dataset,split_id,method,test_acc,val_acc,delta_vs_mlp,runtime_sec,frac_confident,frac_unreliable,frac_corrected,tau,rho,n_helped,n_hurt,net_help,correction_precision,frac_corrected_1hop,frac_corrected_2hop,frac_mlp_only_uncertain,mean_H1,mean_H2,mean_DeltaH,selected_tau,selected_rho1,selected_rho2,selected_h1_max,selected_delta_min,uncertain_total,blocked_by_h1,blocked_by_r1,blocked_by_delta,blocked_by_r2,routed_1hop,routed_2hop
chameleon,0,MLP_ONLY,0.4496,,0.0,1.33,,,,,,,,,,,,,,,,,,,,,,,,,,,
chameleon,0,FINAL_V3,0.4496,0.4774,0.0,0.44,0.9517543859649122,0.0021929824561403508,0.046052631578947366,0.1,0.3,0,0,0,0.0,,,,,,,,,,,,,,,,,,
chameleon,0,MS_HSGC,0.4496,0.4719,0.0,0.43,0.9780701754385965,,,,,0,0,0,0.0,0.0,0.0043859649122807015,0.017543859649122806,0.7551530003547668,0.7104493379592896,0.044703755527734756,0.05,0.4,0.4,0.5,0.0,10,8,2,1,7,0,2
squirrel,0,MLP_ONLY,0.3189,,0.0,2.71,,,,,,,,,,,,,,,,,,,,,,,,,,,
squirrel,0,FINAL_V3,0.318,0.3125,-0.001,2.44,0.9356388088376562,0.002881844380403458,0.06147934678194044,0.1,0.3,3,4,-1,0.42857142857142855,,,,,,,,,,,,,,,,,,
squirrel,0,MS_HSGC,0.3189,0.3095,0.0,2.41,0.968299711815562,,,,,0,0,0,0.0,0.0019212295869356388,0.007684918347742555,0.022094140249759846,0.7858872413635254,0.7681208252906799,0.017766404896974564,0.05,0.4,0.4,0.5,0.0,33,25,6,10,13,2,8
texas,0,MLP_ONLY,0.7568,,0.0,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,
texas,0,FINAL_V3,0.7568,0.7797,0.0,0.01,1.0,0.0,0.0,0.05,0.3,0,0,0,1.0,,,,,,,,,,,,,,,,,,
texas,0,MS_HSGC,0.7568,0.7797,0.0,0.01,1.0,,,,,0,0,0,1.0,0.0,0.0,0.0,0.8355911374092102,0.49868375062942505,0.3369075059890747,0.05,0.4,0.4,0.5,0.0,0,0,0,0,0,0,0
wisconsin,0,MLP_ONLY,0.7843,,0.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
wisconsin,0,FINAL_V3,0.7843,0.8625,0.0,0.02,0.9215686274509803,0.058823529411764705,0.0196078431372549,0.3,0.5,0,0,0,1.0,,,,,,,,,,,,,,,,,,
wisconsin,0,MS_HSGC,0.7843,0.85,0.0,0.01,0.9607843137254902,,,,,0,0,0,0.0,0.0,0.0196078431372549,0.0196078431372549,0.7548463344573975,0.5109231472015381,0.24392317235469818,0.05,0.4,0.4,0.5,0.0,2,1,1,0,1,0,1
cornell,0,MLP_ONLY,0.7838,,0.0,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,
cornell,0,FINAL_V3,0.7838,0.7458,0.0,0.01,0.9459459459459459,0.0,0.05405405405405406,0.05,0.3,0,0,0,0.0,,,,,,,,,,,,,,,,,,
cornell,0,MS_HSGC,0.7838,0.7458,0.0,0.01,0.9459459459459459,,,,,0,0,0,0.0,0.0,0.02702702702702703,0.02702702702702703,0.8166110515594482,0.5639743804931641,0.2526366710662842,0.05,0.4,0.4,0.5,0.0,2,1,1,0,1,0,1
citeseer,0,MLP_ONLY,0.6757,,0.0,2.74,,,,,,,,,,,,,,,,,,,,,,,,,,,
citeseer,0,FINAL_V3,0.6922,0.7174,0.0165,0.35,0.7192192192192193,0.052552552552552555,0.22822822822822822,0.63463,0.3,17,6,11,0.7391304347826086,,,,,,,,,,,,,,,,,,
citeseer,0,MS_HSGC,0.6757,0.692,0.0,0.23,0.9129129129129129,,,,,0,0,0,0.0,0.03753753753753754,0.028528528528528527,0.021021021021021023,0.36265289783477783,0.2557331621646881,0.10691971331834793,0.2,0.4,0.4,0.5,0.0,58,6,27,0,14,25,19
cora,0,MLP_ONLY,0.6982,,0.0,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
cora,0,FINAL_V3,0.7304,0.7601,0.0322,0.14,0.7283702213279678,0.026156941649899398,0.2454728370221328,0.62963,0.3,18,2,16,0.9,,,,,,,,,,,,,,,,,,
cora,0,MS_HSGC,0.7002,0.7299,0.002,0.14,0.96579476861167,,,,,1,0,1,1.0,0.012072434607645875,0.002012072434607646,0.02012072434607646,0.35161638259887695,0.33390671014785767,0.01770966500043869,0.05,0.4,0.4,0.5,0.0,17,7,4,0,10,6,1
pubmed,0,MLP_ONLY,0.8656,,0.0,4.26,,,,,,,,,,,,,,,,,,,,,,,,,,,
pubmed,0,FINAL_V3,0.8846,0.8916,0.019,0.86,0.7512677484787018,0.0109026369168357,0.23782961460446247,0.84676,0.3,105,30,75,0.7777777777777778,,,,,,,,,,,,,,,,,,
pubmed,0,MS_HSGC,0.8674,0.8807,0.0018,0.87,0.9571501014198783,,,,,7,0,7,1.0,0.021044624746450306,0.006338742393509128,0.015466531440162272,0.2349768579006195,0.2495667189359665,-0.01458984799683094,0.2,0.4,0.4,0.5,0.0,169,38,48,3,58,83,25
