dataset,bucket,mean_threshold,mean_uncertain_fraction,mean_delta_vs_mlp,n_runs
cora,low_tertile,0.5488681,0.19637826961770624,0.03923540433167931,10
cora,mid_tertile,0.5822196,0.20100603621730384,0.035613679478106106,10
cora,high_tertile,0.6456887,0.22474849094567403,0.030382293174924024,10
citeseer,low_tertile,0.5317256,0.1985374525468865,0.027194876881306063,10
citeseer,mid_tertile,0.5668084,0.21871848263357696,0.027538371842281306,10
citeseer,high_tertile,0.6081297,0.21936936936936938,0.020570558667540918,10
pubmed,low_tertile,0.849248,0.1934584178498986,0.012170386652917475,10
pubmed,mid_tertile,0.8575194,0.19870689655172413,0.011587228095555634,10
pubmed,high_tertile,0.8655881,0.2031947261663286,0.011384382523581182,10
chameleon,low_tertile,0.060000000000000005,0.039473684210526314,-4.182782009642949e-10,10
chameleon,mid_tertile,0.12,0.06381578947368421,0.0021929780642191534,10
chameleon,high_tertile,0.1953892,0.10219298245614035,-0.0021929864820681155,10
wisconsin,low_tertile,0.05,0.023529411764705882,-9.116004495712816e-09,10
wisconsin,mid_tertile,0.05,0.025490196078431372,0.00196077391213062,10
wisconsin,high_tertile,0.1,0.023529411764705882,-0.007843145085316083,10
texas,low_tertile,0.05,0.02972972972972973,0.008108118257007102,10
texas,mid_tertile,0.05,0.013513513513513514,-0.005405404761030852,10
texas,high_tertile,0.05,0.043243243243243246,-9.50452442305405e-09,10
