dataset,bucket,n_test_nodes,mlp_acc,final_v3_acc,gcn_acc,appnp_acc,final_v3_delta_vs_mlp,final_v3_changed_fraction,final_v3_beneficial_change_count,final_v3_harmful_change_count,final_v3_harmful_overwrite_rate,final_v3_correction_precision
chameleon,high,456,0.6140350877192983,0.6140350877192983,0.6381578947368421,0.537280701754386,0.0,0.0,0,0,0.0,0.0
chameleon,low,456,0.39035087719298245,0.3947368421052631,0.5,0.4385964912280702,0.004385964912280715,0.028508771929824556,4,2,0.13333333333333333,0.5
chameleon,medium,456,0.36622807017543857,0.36622807017543857,0.5285087719298246,0.43421052631578955,0.0,0.0,0,0,0.0,0.0
citeseer,high,666,0.8963963963963963,0.8963963963963963,0.8888888888888888,0.8948948948948949,0.0,0.0,0,0,0.0,0.0
citeseer,low,666,0.4189189189189189,0.490990990990991,0.6486486486486486,0.6276276276276276,0.07207207207207207,0.14114114114114115,64,16,0.17328042328042326,0.7951774732980904
citeseer,medium,666,0.7132132132132133,0.7132132132132133,0.7357357357357358,0.7402402402402403,0.0,0.0,0,0,0.0,0.0
cora,high,498,0.9377510040160643,0.9377510040160643,0.9518072289156626,0.9598393574297188,0.0,0.0,0,0,0.0,0.0
cora,low,498,0.4558232931726907,0.5401606425702811,0.8092369477911646,0.8092369477911646,0.08433734939759036,0.1144578313253012,48,6,0.10062111801242235,0.8928571428571429
cora,medium,495,0.7393939393939394,0.7393939393939394,0.8686868686868686,0.8767676767676768,0.0,0.0,0,0,0.0,0.0
pubmed,high,3945,0.979467680608365,0.979467680608365,0.9404309252217997,0.9282636248415717,0.0,0.0,0,0,0.0,0.0
pubmed,low,3945,0.7034220532319392,0.7414448669201521,0.6920152091254753,0.6735107731305451,0.038022813688212954,0.09100126742712294,249,99,0.27508313266827195,0.7161853127087724
pubmed,medium,3942,0.9287163876204971,0.9287163876204971,0.8561643835616438,0.8409436834094368,0.0,0.0,0,0,0.0,0.0
texas,high,36,0.9444444444444443,0.9444444444444443,0.7222222222222222,0.6944444444444445,0.0,0.0,0,0,0.0,0.0
texas,low,39,0.7435897435897436,0.7692307692307693,0.5128205128205128,0.4615384615384615,0.025641025641025623,0.07692307692307693,1,0,0.0,0.3333333333333333
texas,medium,36,0.861111111111111,0.861111111111111,0.5,0.5,0.0,0.0,0,0,0.0,0.0
wisconsin,high,51,0.9607843137254902,0.9607843137254902,0.7843137254901961,0.8627450980392156,0.0,0.0,0,0,0.0,0.0
wisconsin,low,51,0.5294117647058824,0.5294117647058824,0.411764705882353,0.29411764705882354,0.0,0.0,0,0,0.0,0.0
wisconsin,medium,51,0.9019607843137255,0.9019607843137255,0.5490196078431372,0.6274509803921569,0.0,0.0,0,0,0.0,0.0
